As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,Ihub Balance,Balance Difference,Match Status,Comments
05/15/2023,0,1671380,60177,USD,ALL OTHER LOANS,PRINCIPAL,72437,72437.30369108474,-0.3036910847440595,Match,Difference is within tolerance (less than 1USD)
05/21/2023,2,1684624,30553,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18632,70000.0,-51368.0,Break,
04/14/2023,2,1609762,12684,EUR,ALL OTHER LOANS,DEFERRED COSTS,63417,63417.0,0.0,Match,
06/16/2023,2,1642845,7566,USD,ALL OTHER LOANS,DEFERRED COSTS,72903,70000.0,2903.0,Break,
04/07/2023,2,1662128,12019,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35659,70000.0,-34341.0,Break,
04/13/2023,0,1626013,19189,EUR,ALL OTHER LOANS,DEFERRED COSTS,64090,20000.0,44090.0,Break,
06/16/2023,0,1660793,60475,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,78773,80000.0,-1227.0,Break,
05/26/2023,2,1668238,5821,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,61122,61122.0,0.0,Match,
04/17/2023,0,1634540,19647,GBP,ALL OTHER LOANS,PRINCIPAL,59654,59654.0,0.0,Match,
05/08/2023,2,1698067,19259,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,14722,40000.0,-25278.0,Break,
06/29/2023,2,1662496,48750,EUR,ALL OTHER LOANS,PRINCIPAL,64335,64335.0,0.0,Match,
07/17/2023,2,1666765,66894,EUR,ALL OTHER LOANS,PRINCIPAL,36351,40000.0,-3649.0,Break,
07/09/2023,0,1669440,5683,GBP,ALL OTHER LOANS,PRINCIPAL,29689,10000.0,19689.0,Break,
06/26/2023,2,1613671,31573,USD,ALL OTHER LOANS,PRINCIPAL,33613,70000.0,-36387.0,Break,
04/12/2023,2,1644132,15426,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,71214,20000.0,51214.0,Break,
05/04/2023,2,1627853,22963,EUR,ALL OTHER LOANS,DEFERRED COSTS,68200,68200.0,0.0,Match,
06/05/2023,2,1632508,27644,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,31175,0.0,31175.0,Break,
06/10/2023,2,1690726,53693,GBP,ALL OTHER LOANS,PRINCIPAL,37372,10000.0,27372.0,Break,
03/06/2023,0,1697690,66861,USD,ALL OTHER LOANS,DEFERRED COSTS,15055,15055.0,0.0,Match,
03/24/2023,0,1624786,40797,USD,ALL OTHER LOANS,PRINCIPAL,48896,48896.0,0.0,Match,
04/15/2023,2,1645194,17651,EUR,ALL OTHER LOANS,PRINCIPAL,46022,10000.0,36022.0,Break,
04/01/2023,0,1608565,18004,GBP,ALL OTHER LOANS,PRINCIPAL,27255,27254.314520876895,0.6854791231053241,Match,Difference is within tolerance (less than 1USD)
02/27/2023,2,1681437,19251,GBP,ALL OTHER LOANS,DEFERRED COSTS,12106,60000.0,-47894.0,Break,
06/05/2023,0,1643958,5952,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,61532,61532.45994032208,-0.45994032207818236,Match,Difference is within tolerance (less than 1USD)
07/09/2023,0,1608015,63848,GBP,ALL OTHER LOANS,DEFERRED COSTS,72980,80000.0,-7020.0,Break,
06/22/2023,0,1691424,58144,USD,ALL OTHER LOANS,DEFERRED COSTS,57860,57859.08445363015,0.9155463698480162,Match,Difference is within tolerance (less than 1USD)
09/01/2023,2,1626404,66434,EUR,ALL OTHER LOANS,PRINCIPAL,29128,29128.61387610255,-0.6138761025504209,Match,Difference is within tolerance (less than 1USD)
04/18/2023,2,1611101,22289,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37844,20000.0,17844.0,Break,
05/14/2023,2,1653175,55432,EUR,ALL OTHER LOANS,PRINCIPAL,75749,30000.0,45749.0,Break,
06/11/2023,2,1699284,8645,EUR,ALL OTHER LOANS,PRINCIPAL,52482,52482.0,0.0,Match,
05/10/2023,0,1608015,63848,GBP,ALL OTHER LOANS,DEFERRED COSTS,77401,60000.0,17401.0,Break,
06/09/2023,0,1608015,63848,GBP,ALL OTHER LOANS,DEFERRED COSTS,45151,45151.55726881746,-0.5572688174579525,Match,Difference is within tolerance (less than 1USD)
07/11/2023,0,1688808,42040,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,64412,10000.0,54412.0,Break,
06/19/2023,0,1603703,36346,GBP,ALL OTHER LOANS,DEFERRED COSTS,16530,80000.0,-63470.0,Break,
05/21/2023,0,1605969,38221,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,45595,0.0,45595.0,Break,
03/18/2023,0,1660793,60475,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,70914,40000.0,30914.0,Break,
07/12/2023,2,1616179,30713,USD,ALL OTHER LOANS,DEFERRED COSTS,19847,10000.0,9847.0,Break,
05/21/2023,2,1621448,6200,USD,ALL OTHER LOANS,PRINCIPAL,46562,40000.0,6562.0,Break,
06/21/2023,0,1667042,23281,EUR,ALL OTHER LOANS,PRINCIPAL,79620,0.0,79620.0,Break,
07/19/2023,0,1676108,37663,USD,ALL OTHER LOANS,DEFERRED COSTS,33499,60000.0,-26501.0,Break,
03/04/2023,0,1629717,14907,GBP,ALL OTHER LOANS,PRINCIPAL,41660,70000.0,-28340.0,Break,
07/05/2023,2,1649698,11993,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,76877,50000.0,26877.0,Break,
03/04/2023,2,1680098,13669,GBP,ALL OTHER LOANS,DEFERRED COSTS,34717,34717.0,0.0,Match,
03/15/2023,0,1639760,59873,USD,ALL OTHER LOANS,DEFERRED COSTS,41334,41334.0,0.0,Match,
03/13/2023,2,1644132,15426,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,57823,57822.78971258002,0.21028741997724865,Match,Difference is within tolerance (less than 1USD)
08/02/2023,0,1677956,67822,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20915,50000.0,-29085.0,Break,
08/06/2023,2,1650412,9408,EUR,ALL OTHER LOANS,DEFERRED COSTS,47316,0.0,47316.0,Break,
03/31/2023,2,1672794,33531,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18334,20000.0,-1666.0,Break,
04/26/2023,2,1607277,38177,EUR,ALL OTHER LOANS,DEFERRED COSTS,26831,26831.242659895415,-0.24265989541527233,Match,Difference is within tolerance (less than 1USD)
03/23/2023,0,1667042,23281,EUR,ALL OTHER LOANS,PRINCIPAL,74762,74762.0,0.0,Match,
04/10/2023,2,1669440,5683,GBP,ALL OTHER LOANS,PRINCIPAL,67091,67091.0,0.0,Match,
06/22/2023,0,1618034,20856,EUR,ALL OTHER LOANS,PRINCIPAL,58967,50000.0,8967.0,Break,
05/12/2023,0,1641420,28998,EUR,ALL OTHER LOANS,DEFERRED COSTS,40670,50000.0,-9330.0,Break,
07/22/2023,2,1624278,9390,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,44408,44408.0,0.0,Match,
07/27/2023,2,1638907,61880,EUR,ALL OTHER LOANS,PRINCIPAL,20573,0.0,20573.0,Break,
